[2022-01-23 13:27:23,269][train.py][line:93][INFO] Epoch:[57]	 round:[49]	 loss=228.54404 
[2022-01-23 13:27:25,214][train.py][line:93][INFO] Epoch:[58]	 round:[49]	 loss=228.52027 
[2022-01-23 13:27:27,163][train.py][line:93][INFO] Epoch:[59]	 round:[49]	 loss=228.49539 
[2022-01-23 13:27:29,123][train.py][line:93][INFO] Epoch:[60]	 round:[49]	 loss=228.47185 
[2022-01-23 13:27:31,066][train.py][line:93][INFO] Epoch:[61]	 round:[49]	 loss=228.44759 
[2022-01-23 13:27:33,037][train.py][line:93][INFO] Epoch:[62]	 round:[49]	 loss=228.42338 
[2022-01-23 13:27:34,993][train.py][line:93][INFO] Epoch:[63]	 round:[49]	 loss=228.39921 
[2022-01-23 13:27:36,938][train.py][line:93][INFO] Epoch:[64]	 round:[49]	 loss=228.37581 
[2022-01-23 13:27:38,888][train.py][line:93][INFO] Epoch:[65]	 round:[49]	 loss=228.35044 
[2022-01-23 13:27:40,850][train.py][line:93][INFO] Epoch:[66]	 round:[49]	 loss=228.32572 
[2022-01-23 13:27:42,801][train.py][line:93][INFO] Epoch:[67]	 round:[49]	 loss=228.30162 
[2022-01-23 13:27:44,749][train.py][line:93][INFO] Epoch:[68]	 round:[49]	 loss=228.27759 
[2022-01-23 13:27:46,702][train.py][line:93][INFO] Epoch:[69]	 round:[49]	 loss=228.25254 
[2022-01-23 13:27:48,665][train.py][line:93][INFO] Epoch:[70]	 round:[49]	 loss=228.22903 
[2022-01-23 13:27:50,625][train.py][line:93][INFO] Epoch:[71]	 round:[49]	 loss=228.20313 
[2022-01-23 13:27:52,572][train.py][line:93][INFO] Epoch:[72]	 round:[49]	 loss=228.17862 
[2022-01-23 13:27:54,547][train.py][line:93][INFO] Epoch:[73]	 round:[49]	 loss=228.15412 
[2022-01-23 13:27:56,506][train.py][line:93][INFO] Epoch:[74]	 round:[49]	 loss=228.12959 
[2022-01-23 13:27:58,464][train.py][line:93][INFO] Epoch:[75]	 round:[49]	 loss=228.10477 
[2022-01-23 13:28:00,941][train.py][line:93][INFO] Epoch:[76]	 round:[49]	 loss=228.08010 
[2022-01-23 13:28:02,704][train.py][line:93][INFO] Epoch:[77]	 round:[49]	 loss=228.05541 
[2022-01-23 13:28:04,739][train.py][line:93][INFO] Epoch:[78]	 round:[49]	 loss=228.03051 
[2022-01-23 13:28:06,704][train.py][line:93][INFO] Epoch:[79]	 round:[49]	 loss=228.00638 
[2022-01-23 13:28:08,667][train.py][line:93][INFO] Epoch:[80]	 round:[49]	 loss=227.98131 
[2022-01-23 13:28:10,657][train.py][line:93][INFO] Epoch:[81]	 round:[49]	 loss=227.96203 
[2022-01-23 13:28:12,599][train.py][line:93][INFO] Epoch:[82]	 round:[49]	 loss=227.95970 
[2022-01-23 13:28:14,550][train.py][line:93][INFO] Epoch:[83]	 round:[49]	 loss=227.95977 
[2022-01-23 13:28:16,511][train.py][line:93][INFO] Epoch:[84]	 round:[49]	 loss=227.96018 
[2022-01-23 13:28:18,498][train.py][line:93][INFO] Epoch:[85]	 round:[49]	 loss=227.96305 
[2022-01-23 13:28:20,470][train.py][line:93][INFO] Epoch:[86]	 round:[49]	 loss=227.96556 
[2022-01-23 13:28:22,427][train.py][line:93][INFO] Epoch:[87]	 round:[49]	 loss=227.96961 
[2022-01-23 13:28:24,398][train.py][line:93][INFO] Epoch:[88]	 round:[49]	 loss=227.97397 
[2022-01-23 13:28:26,381][train.py][line:93][INFO] Epoch:[89]	 round:[49]	 loss=227.97967 
[2022-01-23 13:28:28,359][train.py][line:93][INFO] Epoch:[90]	 round:[49]	 loss=227.98563 
[2022-01-23 13:28:30,339][train.py][line:93][INFO] Epoch:[91]	 round:[49]	 loss=227.99295 
[2022-01-23 13:28:32,281][train.py][line:93][INFO] Epoch:[92]	 round:[49]	 loss=228.00046 
